         2304479 function calls (2304133 primitive calls) in 37.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13384   16.950    0.001   22.978    0.002 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:5247(delete)
        1    8.686    8.686   31.857   31.857 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/modules/data_prosses/measures_of_central_tendency.py:5(remove_date_repeated)
    13498    6.009    0.000    6.009    0.000 {built-in method numpy.empty}
        1    2.445    2.445   34.320   34.320 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/modules/data_prosses/measures_of_central_tendency.py:20(daily_freq_message)
        1    1.657    1.657    1.659    1.659 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/modules/data_preparation/identify_members.py:16(identify_members)
    69747    0.449    0.000    0.524    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
1720117/1719902    0.183    0.000    0.183    0.000 {built-in method builtins.len}
    56104    0.162    0.000    0.602    0.000 /usr/lib/python3.12/re/__init__.py:174(search)
    14026    0.112    0.000    0.714    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/modules/data_preparation/validate_data.py:9(msj_line_validator)
        1    0.068    0.068    0.235    0.235 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/modules/data_preparation/data_to_array.py:36(filds_to_elements)
        1    0.048    0.048    0.770    0.770 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/modules/data_preparation/validate_data.py:25(array_line_validator)
    13642    0.040    0.000    0.158    0.000 /usr/lib/python3.12/re/__init__.py:164(match)
        1    0.040    0.040    0.072    0.072 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/modules/data_preparation/data_to_array.py:20(remove_spaces_of_list)
     20/9    0.037    0.002    0.042    0.005 /usr/lib/python3.12/re/_parser.py:512(_parse)
       41    0.032    0.001    0.032    0.001 {built-in method numpy.array}
    56104    0.025    0.000    0.025    0.000 {method 'search' of 're.Pattern' objects}
   123394    0.023    0.000    0.025    0.000 {built-in method builtins.isinstance}
    13642    0.022    0.000    0.030    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/modules/data_preparation/data_to_array.py:12(remove_spaces)
       40    0.017    0.000    0.017    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    13384    0.014    0.000    0.014    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:5243(_delete_dispatcher)
     60/6    0.012    0.000    0.016    0.003 /usr/lib/python3.12/re/_compiler.py:37(_compile)
     6158    0.010    0.000    0.010    0.000 {built-in method posix.lstat}
    13645    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
    13642    0.008    0.000    0.008    0.000 {method 'replace' of 'str' objects}
     6158    0.008    0.000    0.013    0.000 <frozen posixpath>:71(join)
       76    0.008    0.000    0.012    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
       38    0.007    0.000    0.048    0.001 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/frame.py:694(__init__)
       76    0.007    0.000    0.025    0.000 /home/simuladordefarm3/Documentos/PersonalProyects/WhatsAppMetrics/venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:475(__new__)
